	DXX1	DXX10	DXX11	DXX116	DXX12	DXX13	DXX136	DXX15	DXX16	DXX17	DXX18	DXX19	DXX2	DXX20	DXX21	DXX22	DXX23	DXX24	DXX25	DXX26	DXX5	DXX6	DXX7	DXX8	DXX9	TXX1	TXX10	TXX101	TXX102	TXX103	TXX104	TXX105	TXX106	TXX107	TXX108	TXX109	TXX11	TXX111	TXX112	TXX113	TXX114	TXX115	TXX118	TXX119	TXX12	TXX120	TXX121	TXX122	TXX123	TXX124	TXX125	TXX126	TXX127	TXX128	TXX129	TXX13	TXX130	TXX131	TXX132	TXX133	TXX134	TXX135	TXX137	TXX138	TXX139	TXX14	TXX140	TXX141	TXX142	TXX143	TXX144	TXX145	TXX146	TXX147	TXX148	TXX149	TXX15	TXX151	TXX152	TXX16	TXX17	TXX18	TXX19	TXX2	TXX20	TXX21	TXX22	TXX23	TXX24	TXX25	TXX26	TXX28	TXX29	TXX30	TXX32	TXX33	TXX34	TXX35	TXX36	TXX37	TXX38	TXX40	TXX42	TXX43	TXX44	TXX45	TXX46	TXX47	TXX48	TXX49	TXX5	TXX50	TXX51	TXX52	TXX53	TXX54	TXX55	TXX56	TXX57	TXX58	TXX59	TXX60	TXX61	TXX62	TXX63	TXX64	TXX65	TXX66	TXX67	TXX68	TXX69	TXX70	TXX72	TXX73	TXX74	TXX75	TXX76	TXX77	TXX78	TXX79	TXX8	TXX80	TXX81	TXX82	TXX83	TXX84	TXX85	TXX86	TXX87	TXX88	TXX89	TXX9	TXX90	TXX91	TXX93	TXX94	TXX95	TXX96	TXX97	TXX98	TXX99	TZ20	TZ7	TZ95	TZ55	TZ86	TZ114	TZ66	TZ15	TZ109	TZ85	TZ115	TZ71	TZ62	TZ64	TZ112	TZ63	TZ93	TZ74	TZ65	TZ45	TZ11	TZ53	TZ44	TZ34	TZ59	TZ73	TZ94	TZ16	TZ102	TZ38	TZ24	TZ58	TZ28	TZ83	TZ33	TZ29	TZ22	TZ107	TZ12	TZ32	TZ78	TZ6	TZ111	TZ47	TZ88	TZ30.1	TZ108	TZ19	TZ40	TZ91	TZ52	TZ37	TZ101	TZ57	TZ81	TZ13	TZ89	TZ4	TZ87	TZ3	TZ5	TZ8	TZ26	TZ75	TZ80	TZ60	TZ30	TZ56	TZ41	TZ76	TZ9	TZ50	TZ77	TZ68	TZ82	TZ104	TZ110	TZ96	TZ67	TZ92	TZ113	TZ105	TZ69	TZ48	TZ103	TZ61
0	434	296	480	9733	1881	272	4474	3433	612	218	69	98	187	122	575	3714	1661	121	48	3243	1255	95	515	3663	240	248	10	190	719	15	210	1913	102	3481	7612	739	220	119	2293	184	282	599	2198	509	142	1202	191	73	302	117	732	31	26	2473	1839	244	4768	11087	107	347	818	1088	229	51	16	168	161	2018	65	532	136	157	1902	527	1310	109	140	613	1783	175	59	977	120	374	1185	145	791	77	2468	2283	244	1145	2406	571	238	92	2882	2903	55	130	2098	52	4349	486	654	131	147	1918	996	2348	523	598	366	451	32	91	650	4227	6009	2592	173	748	12555	1188	52	4111	109	252	303	15643	9032	408	39	33	8568	418	185	1336	19	102	1005	90	205	365	240	218	765	710	1666	37	200	63	65	384	101	23	29	248	314	305	10	15996	417	187	4179	2051	45	161	789	75	1205	259	719	1768	978	39461	1333	11605	88	324	1770	2565	183	74	610	41	254	215	8940	1119	2222	216	3757	137	2115	155	298	5409	417	158	5759	31622	171	910	164	1125	1183	13402	224	82	315	3132	307	101	141	209	623	2000	2828	1600	740	2521	4367	205	374	2282	2191	108	702	373	925	125	4332	2937	858	227	7860	2051	560	4528	6202	184	456	1884	7677	2682	1168
1	478	1245	144	7695	720	1348	18903	9115	1232	779	102	1754	2935	3950	7080	3207	844	3436	240	3722	529	4337	2665	467	779	789	173	107	642	227	2450	165	462	2288	8843	1119	373	189	1125	625	2369	1153	235	970	4310	736	691	2111	169	332	1810	29	76	5578	3346	333	86	5539	73	3406	5028	1111	3560	451	175	4273	3770	5435	254	682	1393	34	828	2529	270	1396	482	278	142	4036	1744	1032	1701	681	804	1043	5070	112	1360	888	68	600	2421	20332	790	3434	226	2167	126	6160	6300	2945	2093	1053	348	145	34	71	659	1218	713	1298	547	451	272	44	524	3279	367	10226	1891	1788	2728	1487	180	1774	2590	806	7622	191	1348	1676	167	126	4634	6135	2117	5706	184	579	160	1833	723	38	2191	4181	4892	6870	18471	3687	160	327	164	3538	369	3872	1334	1434	1493	5575	301	521	4376	1768	654	1027	1981	133	1872	7784	2139	45	2164	2375	2571	77	1479	1388	1053	3177	228	8708	3828	19460	761	6576	3728	3733	8541	927	9509	381	6979	2400	302	3921	3332	339	543	3064	2127	592	9141	752	4820	2064	2013	1584	1934	531	10876	2072	1499	1239	412	138	796	18964	5539	2248	10176	5060	99	8667	1031	3485	176	5969	3295	942	2611	2737	518	120	795	812	1060	927	748	2045	2393	603	17197	15990	4115	2643	8451
2	2585	9	214	4	14	4	3	6386	66	2984	3468	6	23	2	9423	66	14	172	22805	36	14	115	5330	428	6	21	458	3	3840	4	1	645	29	440	17	17	61	4229	12	5	10	57357	2	1307	32	59	166	3	65	36	191	7	0	37	81	961	241	68	24	6	240	4	82	6	0	57	22	17	561	10	9	9	43	37730	1	2	32	4	36	70	5	6	589	83	7	46	20	2	58	256	1	14	11	3	32	42	3	15	5	50	16	13	2357	12	79	3	45	1	7	23	5	3009	977	164	4	27	9	19	16	4	3	1489	8	2	4	283	7	28	1839	222	12	318	9	24	10	21	1282	1	5	995	37	8	9	9	85	9	146	3260	31	20	0	7	15	1157	7	9110	5	444	45	11	34	106	2494	31	608	147	9	914	1202	983	6	2643	19290	223	12800	1449	561	819	6439	35	47	227	5354	61	22155	3002	30	8093	17448	39	44	322	83	3731	100	5736	8913	266	10088	79	65	74	17	2322	20560	67	28	50	391	215	138	571	17696	6521	1538	153	134	59	1290	66	300	5695	39	58	48	1239	416	36	1255	16901	12930	12140	35	120	27806	37	28	328	58	68	103	46	37	298	17301	1349	5187
3	3202	4140	4757	10308	3042	2823	8080	1275	2171	705	6749	15236	2164	6542	7232	3293	17850	3330	4395	1161	2827	7684	4173	734	2811	3982	1872	19083	3650	7867	5280	7165	11237	8567	1303	10600	6903	4820	4181	15107	3271	2188	9809	5374	2179	5391	3233	1821	1345	7137	2336	6685	7045	4010	1984	3373	1505	3796	17675	5443	4439	3943	7532	17082	8285	487	4721	9774	1716	5964	2424	6019	13910	984	8149	2140	3611	7406	1393	1679	3748	6108	1654	1425	2637	3275	4668	3098	6431	1809	1667	3862	2883	6107	4891	24860	3062	685	5562	5272	5020	1294	5453	3679	609	2735	2566	11838	6339	1355	3644	21522	11740	2648	4906	4720	14362	2562	3781	1340	3688	16979	21459	9088	1243	10624	5566	2538	13882	12180	3599	8307	2978	5527	7109	728	3638	1009	3655	4099	4307	3824	3080	12595	7813	2770	3761	1890	11160	2622	1735	1977	2509	8827	2336	5804	3118	4673	5277	3435	21804	3768	2741	7169	2471	873	2097	2037	5500	3568	2454	1459	738	3323	1013	1877	2002	3118	2255	974	1955	3977	1356	1447	821	5637	4296	723	924	3491	3034	2338	3125	1624	7619	1054	892	12396	584	2560	3313	1574	3929	1483	879	1160	2434	2826	3324	2519	1313	5884	812	1015	1459	15632	741	3979	2288	849	5850	1134	3664	1677	6692	3905	2800	3623	1505	533	1415	1303	14130	15629	9510	7261	3988	3836	3325	3241	10332	10672	372	900	2386	1751	7169
4	233	291	22	3	33	1	66	150	21	33	16	310	73	11	6	3399	159	12	22	3	38	56	174	1719	2	17	1	2	447	179	15	421	50	87	8	1327	41	3	946	8	20	57	61	31	14	0	97	65	22	1	8	127	3	961	2043	95	59	35	20	5	53	6617	17	9	1	43	38	1	557	368	1	2352	18	3	2	0	52	170	75	366	675	377	10	68	3	3	1	0	19	68	3	28	12	29	3	50	105	3	58	23	22	12	678	243	85	3	9	15919	38	2	4657	5	244	5	1874	2459	3	3914	498	2	100	5	43	42	5	124	2	23	26	58	1094	115	16	54	119	848	5	25	9	16	106	13	218	6	85	40	90	6	273	37	0	2	18	4	55	18	13	12536	71	7	2	1460	784	49	8245	15732	2	45	66	193	130	4342	165	114	247	9372	36	1331	828	76	982	764	20	80	6200	54	925	15	7823	2059	1847	23	2571	2822	266	1053	24	776	54	303	2213	338	874	132	777	62	7874	219	219	26	389	805	383	38	28	17	16	192	161	241	134	183	1351	19	32	95	5222	1763	1461	34	37	18874	623	164	112	688	14653	254	497	632	5652	1331	6075	80	2058	2246	163
5	1574	2609	2277	531	1226	2511	1549	7472	1441	2163	387	806	3852	3305	2100	4391	7487	3671	768	1161	769	7134	3684	34639	268	1799	704	1714	11512	5390	2591	10248	8287	2903	969	30523	2236	1830	3030	251	1000	463	9180	2148	4355	4175	1722	718	1608	1486	6638	6808	2369	936	4119	9973	10549	11873	4897	671	1581	2841	5622	2790	3169	758	808	6189	9359	16449	286	4502	8441	893	2462	380	4146	1622	1897	1916	1535	2106	609	2238	2101	280	983	1733	4626	10903	2227	6943	9975	1886	13734	17959	6399	1278	3017	555	561	5194	11472	3451	3538	3427	1975	5627	1754	918	3271	850	4322	5909	5964	5630	3413	2374	3200	2456	13775	1022	26898	3285	16635	7885	4815	1261	3023	13642	2727	1355	1986	6966	52869	3092	1625	6587	87	1855	3666	2214	5255	8763	4923	383	2957	1443	4188	584	1888	1775	1264	816	2884	2061	817	719	1005	693	1088	541	1106	2144	429	6701	128	2476	1037	4558	1019	2172	2023	13271	1510	98	2950	75	4630	784	5969	2184	369	116	679	465	1721	466	978	1034	1305	1313	225	327	10006	983	2618	526	665	1449	1324	158	2865	59	412	349	1970	3462	859	6528	2374	1398	1839	139	1949	96	2897	416	16804	264	4513	1123	1161	1999	2101	724	6309	1609	449	3133	522	138	9627	1465	855	2468	195	4070	1121	1044	668	2428	46	67	773	2950	862
6	1447	17483	2999	8097	6679	4314	9475	21358	1055	7114	8460	11283	7970	478	1247	2204	7360	1064	103	604	9861	275	3598	1256	695	10255	449	228	728	1668	4843	15153	318	2963	1495	567	18751	9408	818	10637	9427	281	602	3501	1580	4424	9261	1952	4586	4543	19071	3745	5130	3071	1704	7813	2579	4988	16842	5114	5293	1179	19982	8589	2214	3754	5465	25709	2402	15025	1526	16277	6934	770	17152	3111	618	7904	6048	1793	3126	8661	7209	2480	4201	1260	3922	6501	4928	3229	9108	8835	4348	4130	3647	5638	6089	1958	8527	2934	1044	1321	3237	5206	274	8123	3057	32245	466	417	1898	6750	4706	1701	6120	3071	17371	964	1895	445	6961	7972	32039	9997	3191	11297	12538	3713	4454	5701	4321	54145	1991	6819	23942	596	1798	3783	3722	9255	9127	972	632	12501	1263	1624	4635	465	8767	3711	1450	3546	1490	15934	2326	12620	165	827	3715	2857	12485	1316	3197	1107	579	347	26	85	4049	3218	156	186	25	1621	268	8	6176	6	4	1872	331	230	4614	29	712	1551	252	4520	103	3994	29	46	1811	1185	5	355	567	656	323	331	63	11730	574	1390	448	221	504	160	568	36	1125	24	603	27	66	6222	4517	2912	416	498	4497	525	162	52	3169	2898	116	619	5909	836	556	211	6494	1567	5152	3201	879	64	3751	26664	28	227	30	69	2443	10	3961
7	2194	25	2175	9348	111	29	63	2201	202	3094	3326	3762	4957	184	4437	6916	514	7673	1479	403	2356	2560	2884	169	350	1812	2715	4006	2827	4391	5	10796	84	4128	1254	5146	7226	2917	375	8926	72	600	6071	505	1313	5929	8799	859	5681	5546	5353	8761	22	1562	2903	26	2272	57	9791	34	996	953	6999	28	28	277	811	12894	463	7677	70	4955	81	258	19	325	3845	4662	8015	371	5859	8668	1272	257	78	3336	2551	3100	635	1793	4805	1668	1997	69	7841	167	14	389	26	2268	387	526	3129	3007	268	273	7627	61	240	1663	646	8793	11690	1830	1290	3913	7723	1130	584	17	2058	14840	224	9564	28	332	709	1031	12904	23617	287	10071	1313	6832	61	40	3838	3878	2340	4579	2319	4724	442	14707	3723	608	2831	23	3450	1293	8	1582	1717	4507	2628	3784	5463	2173	1133	314	7571	4531	1158	7458	1703	1334	1009	1856	985	2920	1285	2068	342	9503	573	1457	999	1532	925	799	638	623	3120	183	85	532	487	754	553	3663	10	1116	25	1634	139	694	299	204	248	270	380	916	876	921	318	292	494	1195	752	1773	1499	8584	1159	216	1023	2615	52	22	329	440	742	2021	28	1454	3940	246	1032	1896	152	1272	770	1066	23	47	1356	1133	21	2276	28	42	2812	2655	343	407	1076	3532	731
8	2947	2708	279	499	1235	758	1222	915	367	1298	1328	3509	1270	4021	2857	6411	4000	1369	650	235	747	1455	1302	2197	471	142	3597	254	2615	428	744	1516	25	6970	2340	2119	125	1081	1434	108	568	2069	209	784	2083	1100	2100	508	1368	510	2384	6	394	2204	4123	889	845	5051	848	324	2795	6661	2494	515	495	356	2043	5976	236	354	2291	12349	527	4763	249	32	353	801	117	566	1818	1266	884	425	3006	173	2364	207	549	1425	199	761	813	2195	4053	1841	486	157	334	8011	1084	1271	3319	1394	263	149	923	1389	209	80	2920	1604	3500	693	1073	750	423	4572	523	1724	5911	1036	608	1987	268	5181	2547	464	1838	2120	2369	1755	62	4444	3101	74	4131	75	3107	154	3842	814	4672	2550	2838	921	480	630	3490	10046	95	3364	2421	336	487	3870	1114	80	1410	833	556	583	775	206	1159	1455	8	1434	2411	1477	563	902	233	889	317	1270	701	103	639	1807	1751	1661	2680	1675	1530	523	445	1548	831	483	719	2930	50	1281	506	2375	1578	835	2456	3973	3083	20	1757	841	1391	995	377	1148	818	1659	1759	72	268	1469	366	24	195	1099	1076	395	3190	1829	68	1375	41	149	2168	774	489	1555	850	1176	10	114	2614	1225	52	815	2096	5027	331	1840	4093	66	768	1435	2583
9	632	26	32	112	14	0	490	2676	277	78	4	1	279	10	12	283	20	8029	546	3028	19	15460	120	490	1	3	2	0	715	77	1	709	36	52	4982	400	28	1643	2	6	1028	5450	7	148	345	1	42	0	2	8	1247	22	0	20	25	6	20	157	40	4	5596	19	4932	3221	179	48	3141	5	256	22	2	3	46	6703	55	1529	154	19	10	44	21	11	705	74	29	287	0	0	846	54	23	342	1124	2	13	14	531	10	0	17	13	19	667	373	22	4	20	6	3	1649	16	3628	296	3	3	12	4	21	53	26	2	3864	6	0	0	142	584	463	47	17	452	12	96	19	21	44	2	199	1	301	14	0	9	148	6920	5	264	3	58	2	0	3406	26	529	182	5935	1	870	83	59	13	31	5739	209	135	257	5	197	700	720	13	0	187	58	290	32	28	125	304	334	10	44	8114	8	451	41	10	1168	74	9	16	93	14	22	53	172	19	3	251	23	1656	58	2	30	9947	1268	304	129	170	579	19	3	33	560	138	309	16	586	182	2553	18	857	30	389	8	90	32	24	44	1889	439	2490	6	4	918	3887	79	290	8	50	47	295	2	59	17	1367	13
