	Source	Length	Incompatibility Group	Predicted Plasmid/ICE	Phylum
adult_c_000000000801	De Novo Assembled	16692	N/A	ICE	Bacteroidetes
adult_c_000002956380	De Novo Assembled	29102	N/A	ICE	NA
adult_c_000007050851	De Novo Assembled	26186	N/A	ICE	Bacteroidetes
infant_c_000000224801	De Novo Assembled	70278	N/A	ICE	Firmicutes
infant_c_000000205424	De Novo Assembled	116879	IncFII,IncFIIA,IncFIB	Plasmid	Proteobacteria
infant_c_000000303989	De Novo Assembled	116830	IncFIB,IncFII,IncFIIA	Plasmid	Proteobacteria
adult_c_000008175705	De Novo Assembled	19378	N/A	ICE	Firmicutes
adult_c_000008893813	De Novo Assembled	77033	N/A	ICE	Firmicutes
adult_c_000003513025	De Novo Assembled	153500	N/A	ICE	Bacteroidetes
adult_c_000010613334	De Novo Assembled	29291	N/A	ICE	Firmicutes
adult_c_000010993363	De Novo Assembled	115627	N/A	ICE	Firmicutes
adult_c_000014022235	De Novo Assembled	38860	N/A	ICE	Firmicutes
infant_c_000000304131	De Novo Assembled	21352	IncN	Plasmid	Proteobacteria
adult_c_000005638975	De Novo Assembled	57539	N/A	ICE	Bacteroidetes
adult_c_000013226111	De Novo Assembled	31783	N/A	N/A	Firmicutes
adult_c_000008893570	De Novo Assembled	141588	N/A	ICE	Firmicutes
infant_c_000000374357	De Novo Assembled	8493	N/A	Plasmid	Firmicutes
adult_c_000014234633	De Novo Assembled	15557	N/A	ICE	Bacteroidetes
infant_c_000000193721	De Novo Assembled	23740	N/A	Plasmid	NA
infant_c_000000466735	De Novo Assembled	42634	N/A	Plasmid	Proteobacteria
adult_c_000008418797	De Novo Assembled	17429	N/A	N/A	Firmicutes
adult_c_000013226543	De Novo Assembled	10363	N/A	N/A	Firmicutes
adult_c_000009903337	De Novo Assembled	45172	N/A	ICE	Firmicutes
adult_c_000007050862	De Novo Assembled	25572	N/A	Plasmid	Firmicutes
adult_c_000009903073	De Novo Assembled	62070	N/A	ICE	Firmicutes
adult_c_000007869312	De Novo Assembled	31256	N/A	ICE	Bacteroidetes
adult_c_000005639083	De Novo Assembled	38778	N/A	ICE	Bacteroidetes
adult_c_000008418239	De Novo Assembled	40430	N/A	ICE	Firmicutes
infant_c_000000045630	De Novo Assembled	33857	N/A	ICE	Bacteroidetes
adult_c_000010612882	De Novo Assembled	115232	N/A	ICE	Actinobacteria
adult_c_000009903762	De Novo Assembled	30595	N/A	ICE	Bacteroidetes
infant_c_000000443464	De Novo Assembled	33857	N/A	ICE	Bacteroidetes
adult_c_000002454411	De Novo Assembled	51390	N/A	N/A	Firmicutes
adult_c_000010840580	De Novo Assembled	107190	N/A	ICE	Firmicutes
adult_c_000000000515	De Novo Assembled	24371	N/A	ICE	Firmicutes
infant_c_000000401596	De Novo Assembled	56260	N/A	Plasmid	Proteobacteria
infant_c_000000258786	De Novo Assembled	94616	IncFIB,IncFII,IncFII	Plasmid	Proteobacteria
infant_c_000000381671	De Novo Assembled	34649	N/A	Plasmid	Proteobacteria
adult_c_000013454083	De Novo Assembled	75362	N/A	ICE	Firmicutes
infant_c_000000443504	De Novo Assembled	17351	N/A	ICE	Bacteroidetes
infant_c_000000460760	De Novo Assembled	30327	IncN	Plasmid	Proteobacteria
infant_c_000000100045	De Novo Assembled	12877	N/A	Plasmid	Firmicutes
adult_c_000012459043	De Novo Assembled	34522	N/A	ICE	Bacteroidetes
adult_c_000013662038	De Novo Assembled	36865	N/A	ICE	Bacteroidetes
infant_c_000000303997	De Novo Assembled	107799	IncH	Plasmid	Proteobacteria
adult_c_000001698700	De Novo Assembled	24064	N/A	ICE	Bacteroidetes
adult_c_000009238857	De Novo Assembled	35388	N/A	ICE	Bacteroidetes
adult_c_000008893666	De Novo Assembled	103064	N/A	ICE	Bacteroidetes
adult_c_000000520680	De Novo Assembled	26481	N/A	ICE	Firmicutes
infant_c_000000174759	De Novo Assembled	33756	IncN	Plasmid	Proteobacteria
adult_c_000005503440	De Novo Assembled	61243	N/A	ICE	Bacteroidetes
adult_c_000007050643	De Novo Assembled	64132	N/A	ICE	Bacteroidetes
infant_c_000000179675	De Novo Assembled	46283	N/A	N/A	Firmicutes
infant_c_000000263218	De Novo Assembled	9418	N/A	N/A	Firmicutes
infant_c_000000401200	De Novo Assembled	112299	N/A	ICE	Firmicutes
adult_c_000013226115	De Novo Assembled	31569	N/A	ICE	Bacteroidetes
infant_c_000000006892	De Novo Assembled	53838	N/A	ICE	Firmicutes
adult_c_000012771082	De Novo Assembled	44787	N/A	ICE	Firmicutes
adult_c_000008693096	De Novo Assembled	51519	N/A	ICE	Bacteroidetes
adult_c_000008893694	De Novo Assembled	96827	N/A	ICE	Firmicutes
adult_c_000003513150	De Novo Assembled	83231	N/A	ICE	Bacteroidetes
adult_c_000005639257	De Novo Assembled	24818	N/A	ICE	Bacteroidetes
adult_c_000009906197	De Novo Assembled	8543	N/A	Plasmid	Firmicutes
infant_c_000000135411	De Novo Assembled	37340	N/A	Plasmid	Proteobacteria
infant_c_000000350564	De Novo Assembled	57158	rep_cluster_1027	Plasmid	Firmicutes
adult_c_000010613001	De Novo Assembled	66201	N/A	ICE	Bacteroidetes
adult_c_000001082546	De Novo Assembled	34288	N/A	ICE	Firmicutes
adult_c_000005117488	De Novo Assembled	49572	N/A	ICE	Firmicutes
adult_c_000009238704	De Novo Assembled	59031	N/A	ICE	Firmicutes
adult_c_000012459167	De Novo Assembled	22640	N/A	Plasmid	Firmicutes
adult_c_000009903689	De Novo Assembled	32405	N/A	ICE	Firmicutes
adult_c_000001082227	De Novo Assembled	80719	N/A	ICE	Actinobacteria
adult_c_000011135113	De Novo Assembled	32386	N/A	ICE	Bacteroidetes
adult_c_000007288282	De Novo Assembled	37582	N/A	ICE	Bacteroidetes
infant_c_000000374099	De Novo Assembled	40147	IncFII	Plasmid	Proteobacteria
adult_c_000001699985	De Novo Assembled	11213	N/A	ICE	Firmicutes
adult_c_000006007668	De Novo Assembled	37187	N/A	ICE	Firmicutes
infant_c_000000304100	De Novo Assembled	29492	IncN	Plasmid	Proteobacteria
adult_c_000002454352	De Novo Assembled	112748	N/A	ICE	Bacteroidetes
adult_c_000010613216	De Novo Assembled	38451	N/A	ICE	Actinobacteria
adult_c_000013455219	De Novo Assembled	13773	N/A	Plasmid	Firmicutes
infant_c_000000443434	De Novo Assembled	107865	N/A	ICE	NA
adult_c_000002012993	De Novo Assembled	28007	N/A	ICE	Bacteroidetes
adult_c_000005117674	De Novo Assembled	32289	N/A	ICE	Bacteroidetes
infant_c_000000413404	De Novo Assembled	67821	IncFII	Plasmid	Proteobacteria
adult_c_000010252652	De Novo Assembled	32445	N/A	ICE	Bacteroidetes
adult_c_000002454722	De Novo Assembled	16059	N/A	Plasmid	Firmicutes
adult_c_000008895263	De Novo Assembled	23741	N/A	ICE	Firmicutes
adult_c_000002012951	De Novo Assembled	56733	N/A	ICE	Bacteroidetes
adult_c_000002808617	De Novo Assembled	19542	N/A	N/A	Firmicutes
infant_c_000000174731	De Novo Assembled	51224	N/A	ICE	Bacteroidetes
adult_c_000003513241	De Novo Assembled	62013	N/A	ICE	Bacteroidetes
adult_c_000010840695	De Novo Assembled	46579	N/A	ICE	Bacteroidetes
adult_c_000013094215	De Novo Assembled	67660	N/A	ICE	Firmicutes
infant_c_000000336129	De Novo Assembled	71136	IncFIIA,IncFII	Plasmid	Proteobacteria
adult_c_000001698711	De Novo Assembled	23673	N/A	ICE	Firmicutes
adult_c_000003212341	De Novo Assembled	11179	N/A	ICE	Bacteroidetes
infant_c_000000128696	De Novo Assembled	19795	N/A	Plasmid	Proteobacteria
adult_c_000009903100	De Novo Assembled	60337	N/A	ICE	Bacteroidetes
adult_c_000005118029	De Novo Assembled	16546	N/A	ICE	Firmicutes
adult_c_000008893491	De Novo Assembled	229430	N/A	ICE	Bacteroidetes
infant_c_000000286772	De Novo Assembled	48259	IncFII	Plasmid	Proteobacteria
infant_c_000000286787	De Novo Assembled	42384	IncFII,IncFIIA	Plasmid	Proteobacteria
adult_c_000007869171	De Novo Assembled	59560	N/A	ICE	Firmicutes
adult_c_000014022244	De Novo Assembled	33311	N/A	ICE	Firmicutes
adult_c_000009238639	De Novo Assembled	80023	N/A	ICE	Firmicutes
adult_c_000009903082	De Novo Assembled	61387	N/A	ICE	Firmicutes
adult_c_000009903659	De Novo Assembled	33280	N/A	Plasmid	Firmicutes
infant_c_000000128700	De Novo Assembled	19484	N/A	Plasmid	NA
adult_c_000004735184	De Novo Assembled	25317	N/A	ICE	Bacteroidetes
adult_c_000012458878	De Novo Assembled	173394	N/A	ICE	Bacteroidetes
adult_c_000008893965	De Novo Assembled	64224	N/A	N/A	Firmicutes
infant_c_000000023493	De Novo Assembled	183154	N/A	ICE	NA
adult_c_000008893684	De Novo Assembled	98121	N/A	ICE	Bacteroidetes
infant_c_000000125885	De Novo Assembled	74291	IncFII	Plasmid	Proteobacteria
infant_c_000000152023	De Novo Assembled	61599	N/A	Plasmid	Proteobacteria
adult_c_000008895641	De Novo Assembled	19809	N/A	Plasmid	Firmicutes
adult_c_000002955808	De Novo Assembled	47546	N/A	ICE	Firmicutes
adult_c_000002454444	De Novo Assembled	38559	N/A	N/A	Firmicutes
